                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.3121,                 9.4723,                      0,                0.93044,                 1.2343,                0.99083,                   0.77,                0.77989,                0.65009,                      0,                      0,                      0,                      0,                 1.0666,                 9.3498,                      0,                 1.1293,                 1.0948,             0.00065608,             0.00065608,             0.00065608
                      1,                0.67292,                 7.6055,                      0,                0.55338,                0.90647,                0.77983,                   0.78,                0.78687,                 0.6036,                0.00911,                   0.01,                0.00139,                0.00014,                 1.0762,                 8.1994,                      0,                 1.3207,                 1.0714,              0.0013097,              0.0013097,              0.0013097
                      2,                0.58648,                 6.1835,                      0,                0.52156,                0.89655,                0.93122,                   0.77,                0.86277,                0.71585,                0.74417,                   0.75,                0.56361,                0.08607,                0.73309,                 6.5354,                      0,                0.69161,                0.91575,                0.00195,                0.00195,                0.00195
                      3,                0.53797,                 4.9974,                      0,                0.46851,                 0.8787,                0.93727,                   0.78,                0.83423,                0.69996,                0.96549,                   0.97,                0.95455,                0.16679,                0.70192,                 5.5422,                      0,                0.87218,                0.94708,              0.0019406,              0.0019406,              0.0019406
                      4,                0.49535,                 4.4112,                      0,                0.44199,                0.87282,                0.83053,                   0.78,                0.79494,                0.65724,                0.92902,                   0.93,                 0.8903,                0.20028,                0.80822,                  5.232,                      0,                 1.0258,                0.93963,              0.0019406,              0.0019406,              0.0019406
                      5,                0.51271,                 4.0991,                      0,                0.45401,                0.87551,                0.97773,                   0.77,                0.80747,                0.67027,                0.52316,                0.54859,                0.32805,                0.09547,                0.70769,                 5.1029,                      0,                0.83861,                0.94172,              0.0019208,              0.0019208,              0.0019208
                      6,                0.45877,                 3.6096,                      0,                0.40646,                0.85646,                0.86187,                   0.78,                0.86182,                0.77611,                0.98935,                   0.99,                 0.9805,                0.27966,                0.53723,                  4.848,                      0,                 0.7403,                0.89037,               0.001901,               0.001901,               0.001901
                      7,                0.46442,                 3.3024,                      0,                 0.4032,                0.85338,                0.99125,                   0.73,                0.83607,                0.73743,                0.75941,                   0.76,                0.65485,                0.17456,                0.54643,                 4.5212,                      0,                 0.8483,                0.87934,              0.0018812,              0.0018812,              0.0018812
                      8,                0.45522,                 3.0692,                      0,                0.43053,                0.85223,                0.84849,                   0.78,                0.79731,                0.64578,                0.99925,                      1,                  0.995,                 0.3514,                 0.7861,                  4.357,                      0,                0.95083,                0.98598,              0.0018614,              0.0018614,              0.0018614
                      9,                0.45917,                 2.9879,                      0,                0.41248,                0.86523,                0.98717,                0.76924,                0.87065,                0.74551,                0.98579,                      1,                0.99421,                0.43173,                0.63675,                 4.2127,                      0,                0.73673,                0.96743,              0.0018416,              0.0018416,              0.0018416
                     10,                0.43027,                 2.7386,                      0,                0.38536,                0.85374,                0.96185,                   0.78,                0.79543,                0.72289,                 0.9992,                      1,                  0.995,                0.49502,                0.65003,                 4.5171,                      0,                0.92252,                0.93083,              0.0018218,              0.0018218,              0.0018218
                     11,                0.42847,                 2.6288,                      0,                0.37845,                0.84626,                0.98171,                   0.77,                0.85541,                0.74009,                0.99877,                      1,                  0.995,                0.46984,                0.55354,                 3.9973,                      0,                0.72305,                0.87424,               0.001802,               0.001802,               0.001802
                     12,                0.41737,                 2.6222,                      0,                0.37789,                 0.8516,                0.97584,                   0.76,                0.89898,                0.75626,                0.99927,                      1,                  0.995,                0.36378,                0.65437,                 4.0597,                      0,                0.74168,                0.92038,              0.0017822,              0.0017822,              0.0017822
                     13,                0.41766,                 2.4527,                      0,                0.37461,                0.85318,                0.89299,                   0.78,                0.79567,                0.65271,                0.99897,                      1,                  0.995,                0.43487,                0.83167,                 3.8723,                      0,                  1.075,                 1.0646,              0.0017624,              0.0017624,              0.0017624
                     14,                0.40743,                 2.3944,                      0,                0.35301,                0.84252,                0.93103,                   0.78,                0.89257,                0.76202,                0.99922,                      1,                  0.995,                0.40496,                0.61037,                 4.0067,                      0,                  0.764,                0.94723,              0.0017426,              0.0017426,              0.0017426
                     15,                0.38298,                  2.364,                      0,                0.34718,                0.84055,                0.92269,                   0.77,                0.87762,                0.73449,                0.99923,                      1,                  0.995,                0.52569,                0.67374,                 3.9951,                      0,                0.73167,                 0.9134,              0.0017228,              0.0017228,              0.0017228
                     16,                0.38517,                 2.2159,                      0,                0.35198,                0.83613,                0.97194,                   0.77,                0.84931,                  0.715,                0.99929,                      1,                  0.995,                0.63262,                0.62673,                 3.5381,                      0,                0.77375,                0.87962,               0.001703,               0.001703,               0.001703
                     17,                0.36994,                 2.1237,                      0,                0.33763,                 0.8376,                0.91751,                   0.78,                 0.8871,                0.78589,                0.99916,                      1,                  0.995,                0.53941,                0.59191,                 3.5591,                      0,                0.71503,                0.93188,              0.0016832,              0.0016832,              0.0016832
                     18,                0.36878,                 2.0318,                      0,                0.33865,                0.83528,                0.91403,                   0.78,                0.85963,                0.75772,                0.99939,                      1,                  0.995,                0.61291,                0.53974,                 3.4914,                      0,                0.72578,                0.84936,              0.0016634,              0.0016634,              0.0016634
                     19,                0.36925,                 2.1281,                      0,                0.34458,                0.83273,                0.87003,                   0.77,                0.88889,                0.76876,                0.99914,                      1,                  0.995,                0.63118,                0.52924,                 3.3623,                      0,                0.72905,                0.88348,              0.0016436,              0.0016436,              0.0016436
                     20,                0.36957,                 2.1395,                      0,                0.33587,                0.83789,                0.96262,                0.77261,                 0.8903,                0.77899,                 0.9992,                      1,                  0.995,                0.60011,                0.53646,                   3.63,                      0,                 0.6751,                0.88727,              0.0016238,              0.0016238,              0.0016238
                     21,                0.34693,                 1.9996,                      0,                0.31271,                0.82912,                0.97459,                0.76721,                 0.8979,                0.78443,                 0.9992,                      1,                  0.995,                0.52341,                0.57718,                 3.7566,                      0,                 0.7178,                0.86553,               0.001604,               0.001604,               0.001604
                     22,                0.36821,                 1.9392,                      0,                0.32696,                0.83664,                0.96983,                   0.76,                0.85394,                0.77521,                0.99903,                      1,                  0.995,                0.65286,                0.46412,                 3.4114,                      0,                0.65827,                0.86717,              0.0015842,              0.0015842,              0.0015842
                     23,                0.34699,                 1.8306,                      0,                0.33205,                0.82402,                0.95527,                   0.77,                0.82446,                0.75458,                 0.9993,                      1,                  0.995,                0.65307,                0.52422,                 3.4192,                      0,                0.76932,                0.85146,              0.0015644,              0.0015644,              0.0015644
                     24,                0.35685,                 1.8692,                      0,                0.32854,                 0.8291,                0.82322,                   0.78,                0.86673,                0.77461,                  0.989,                      1,                  0.995,                0.65179,                0.50033,                 3.3544,                      0,                0.81581,                0.87039,              0.0015446,              0.0015446,              0.0015446
                     25,                0.32565,                 1.7638,                      0,                0.31744,                0.82383,                0.88081,                   0.78,                0.84901,                0.74708,                0.99931,                      1,                  0.995,                0.60812,                0.58028,                 3.3822,                      0,                0.76609,                0.90528,              0.0015248,              0.0015248,              0.0015248
                     26,                0.34297,                 1.8628,                      0,                0.32741,                0.82801,                0.98408,                   0.76,                0.90128,                0.76428,                0.99916,                      1,                  0.995,                0.64172,                0.60281,                 3.4511,                      0,                0.62369,                0.89842,               0.001505,               0.001505,               0.001505
                     27,                0.35384,                 1.8319,                      0,                0.33171,                0.83055,                 0.9612,                0.74322,                0.90251,                0.81212,                0.99926,                      1,                  0.995,                0.62006,                0.49987,                 3.2938,                      0,                0.68665,                 0.8808,              0.0014852,              0.0014852,              0.0014852
                     28,                0.34343,                 1.7758,                      0,                0.32301,                0.82915,                0.94864,                0.73882,                0.89895,                0.78677,                0.99932,                      1,                  0.995,                 0.6174,                0.60724,                 3.4361,                      0,                0.70946,                0.90826,              0.0014654,              0.0014654,              0.0014654
                     29,                0.32398,                 1.7419,                      0,                0.31158,                0.81979,                0.93175,                   0.77,                 0.9008,                0.81421,                0.99937,                      1,                  0.995,                0.68154,                0.53093,                 3.2245,                      0,                0.68557,                0.86368,              0.0014456,              0.0014456,              0.0014456
                     30,                0.32768,                 1.7366,                      0,                0.30895,                0.82922,                0.97465,                0.76896,                0.86044,                0.73327,                0.99818,                      1,                  0.995,                0.60809,                0.58298,                  3.473,                      0,                 0.6236,                0.89319,              0.0014258,              0.0014258,              0.0014258
                     31,                0.32154,                 1.6405,                      0,                0.30248,                0.82795,                0.97038,                   0.77,                0.87865,                0.79279,                0.99664,                      1,                  0.995,                0.67311,                0.47899,                 3.1937,                      0,                0.59899,                0.88962,               0.001406,               0.001406,               0.001406
                     32,                 0.3133,                 1.6302,                      0,                0.29393,                0.82241,                0.97665,                   0.77,                0.86308,                0.78627,                0.99932,                      1,                  0.995,                0.65637,                 0.4764,                 3.3282,                      0,                0.68445,                0.87393,              0.0013862,              0.0013862,              0.0013862
                     33,                0.30353,                 1.4938,                      0,                0.28238,                0.82411,                0.94362,                   0.77,                0.89684,                0.80676,                0.99933,                      1,                  0.995,                0.70706,                0.52401,                 3.3834,                      0,                0.72473,                 0.8608,              0.0013664,              0.0013664,              0.0013664
                     34,                0.31151,                 1.5801,                      0,                0.30651,                0.81961,                0.96323,                   0.77,                0.90667,                0.83115,                0.99895,                      1,                  0.995,                0.66132,                0.45852,                 3.3262,                      0,                0.62147,                0.87107,              0.0013466,              0.0013466,              0.0013466
                     35,                 0.3049,                 1.5795,                      0,                0.28355,                0.82574,                0.96009,                   0.77,                0.88483,                0.81337,                0.99901,                      1,                  0.995,                0.64955,                 0.4542,                 3.2247,                      0,                0.70049,                0.85204,              0.0013268,              0.0013268,              0.0013268
                     36,                0.29548,                 1.4805,                      0,                0.28523,                0.81796,                  0.928,                0.77331,                0.89435,                0.82115,                0.99928,                      1,                  0.995,                 0.6688,                0.48641,                 3.1879,                      0,                0.76151,                0.86015,               0.001307,               0.001307,               0.001307
                     37,                0.29923,                  1.473,                      0,                0.28474,                0.81914,                 0.9726,                   0.77,                0.88845,                0.81279,                0.99829,                      1,                  0.995,                0.68638,                0.46783,                 3.1387,                      0,                0.60092,                0.88078,              0.0012872,              0.0012872,              0.0012872
                     38,                0.30066,                 1.4581,                      0,                0.28775,                0.81798,                0.90117,                   0.78,                0.89874,                0.82292,                0.99936,                      1,                  0.995,                0.68517,                 0.4874,                 3.1564,                      0,                0.69691,                0.84515,              0.0012674,              0.0012674,              0.0012674
                     39,                0.29824,                 1.4875,                      0,                0.28003,                0.82736,                0.97245,                   0.77,                0.87197,                0.78113,                0.99886,                      1,                  0.995,                0.70666,                0.50699,                 3.1235,                      0,                0.72329,                0.89576,              0.0012476,              0.0012476,              0.0012476
                     40,                0.30726,                  1.498,                      0,                0.29155,                0.82146,                0.95291,                   0.77,                0.91149,                0.80308,                0.99931,                      1,                  0.995,                0.71234,                0.52477,                 3.1025,                      0,                0.77201,                0.84669,              0.0012278,              0.0012278,              0.0012278
                     41,                0.28619,                 1.4616,                      0,                0.28369,                 0.8139,                0.97227,                   0.77,                0.90614,                0.83979,                0.99898,                      1,                  0.995,                0.70269,                 0.4701,                 3.0904,                      0,                0.57453,                0.87868,               0.001208,               0.001208,               0.001208
